26657951,442,5733
26659951,470,5733
26661951,485,5733
26663951,457,5733
26665951,478,5733
26667951,488,5733
26669951,459,5733
26671951,479,5733
26673951,489,5733
26675951,459,5733
26677951,479,2457
26679951,489,2457
26681951,459,2457
26683951,444,2457
26685951,471,2457
26687951,485,2457
26689951,457,2457
26691951,478,2457
26693951,488,2457
26695951,459,2457
26697951,444,2457
26699951,471,2457
26701951,485,2457
26703951,457,2457
26705951,443,2457
26707951,436,2457
26709951,467,2457
26711951,483,2457
26713951,456,2457
26715951,442,2457
26717951,435,2457
26719951,432,2457
26721951,430,2457
26723951,429,2457
26725951,464,2457
26727951,481,2457
26729951,455,2457
26731951,442,2457
26733951,435,2457
26735951,432,2457
26737951,430,2457
26739951,429,2457
26741951,428,2457
26743951,428,2457
26745951,428,2457
26747951,428,2457
26749951,428,2457
26751951,428,2457
26753951,428,2457
26755951,428,2457
26757951,428,2457
26759951,428,2457
26761951,428,2457
26763951,393,2457
26765951,375,2457
26767951,401,2457
26769951,414,2457
26771951,421,2457
26773951,424,2457
26775951,426,2457
26777951,427,2457
26779951,392,2457
26781951,375,2457
26783951,401,2457
26785951,414,2457
26787951,421,2457
26789951,424,2457
26791951,391,2457
26793951,374,2457
26795951,401,2457
26797951,414,2457
26799951,386,2457
26801951,371,2457
26803951,399,2457
26805951,413,2457
26807951,385,2457
26809951,371,2457
26811951,399,2457
26813951,413,2457
26815951,385,2457
26817951,371,2457
26819951,399,2457
26821951,378,2457
26823951,368,2457
26825951,397,2457
26827951,377,2457
26829951,367,2457
26831951,397,2457
26833951,377,2457
26835951,367,2457
26837951,362,5733
26839951,359,5733
26841951,393,5733
26843951,375,5733
26845951,366,5733
26847951,396,5733
26849951,377,5733
26851951,367,5733
26853951,397,5733
26855951,412,5733
26857951,385,5733
26859951,371,5733
26861951,399,5733
26863951,413,5733
26865951,420,5733
26867951,424,5733
26869951,391,5733
26871951,374,5733
26873951,401,5733
26875951,414,5733
26877951,421,2457
26879951,424,2457
26881951,426,2457
26883951,427,2457
26885951,428,2457
26887951,428,2457
26889951,393,2457
26891951,375,2457
26893951,401,2457
26895951,414,2457
